内閣府,2823
宮内庁,552
警察庁,14899
金融庁,663
消費者庁,206
復興庁,165
総務省,4741
消防庁,1124
法務省,27279
検察庁,1209
公安調査庁,31
外務省,709
財務省,16127
国税庁,3655
文部科学省,1135
文化庁,184
スポーツ庁,14
厚生労働省,53105
農林水産省,25060
林野庁,10947
水産庁,52
経済産業省,3044
資源エネルギー庁,573
特許庁,610
中小企業庁,0
国土交通省,64767
観光庁,0
気象庁,2477
海上保安庁,7487
環境省,4751
防衛省,96943
防衛装備庁,8260
